x, y, z, level
2.99985, 0.17603, 3, 0
3.99985, 0.177739, 3, 0
4.99985, 0.179448, 3, 0
5.99985, 0.181157, 3, 0
6.99984, 0.182866, 3, 0
7.99984, 0.184575, 3, 0
8.99984, 0.186284, 3, 0
9.99984, 0.187993, 3, 0
-0.000146039, 0.170903, 4, 0
0.999853, 0.172612, 4, 0
1.99985, 0.174321, 4, 0
2.99985, 0.17603, 4, 0
3.99985, 0.177739, 4, 0
4.99985, 0.179448, 4, 0
5.99985, 0.181157, 4, 0
6.99984, 0.182866, 4, 0
7.99984, 0.184575, 4, 0
8.99984, 0.186284, 4, 0
6.99984, 0.182866, 5, 0
7.99984, 0.184575, 5, 0
5.99985, 0.181157, 6, 0
6.99984, 0.182866, 6, 0
4.99985, 0.179448, 7, 0
5.99985, 0.181157, 7, 0
3.99985, 0.177739, 8, 0
4.99985, 0.179448, 8, 0
2.99985, 0.17603, 9, 0
3.99985, 0.177739, 9, 0
1.99985, 0.174321, 10, 0
